Ref,Val,Package,PosX,PosY,Rot,Side
"U14","SN65176B","SOIC-8-N",-20.000000,-31.750000,0.000000,top
"U15","SN65176B","SOIC-8-N",-20.000000,-48.250000,0.000000,top
"U16","SN65176B","SOIC-8-N",-20.000000,-42.750000,0.000000,top
"U17","SN65176B","SOIC-8-N",-20.000000,-26.250000,0.000000,top
"U18","SN65176B","SOIC-8-N",-20.000000,-20.750000,0.000000,top
"U19","SN65176B","SOIC-8-N",-20.000000,-37.250000,0.000000,top
"U20","USBLC6-4SC6","SOT-23-6",-52.750000,-6.250000,90.000000,top
"U21","USBLC6-4SC6","SOT-23-6",-15.250000,-61.250000,270.000000,top
"U22","USBLC6-4SC6","SOT-23-6",-57.750000,-6.250000,90.000000,top
"U23","USBLC6-4SC6","SOT-23-6",-71.500000,-37.500000,180.000000,top
"U25","STM32F303CBTx","LQFP-48_7x7mm_Pitch0.5mm",-20.250000,-74.500000,0.000000,top
"U26","STM32F405VG","LQFP-100_14x14mm_Pitch0.5mm",-54.750000,-31.000000,0.000000,top
"U27","ACT4088","SOT-23-6",-81.250000,-23.250000,0.000000,top
"U28","ACT4088","SOT-23-6",-88.750000,-36.750000,180.000000,top
"U29","USBLC6-4SC6","SOT-23-6",-11.000000,-63.500000,270.000000,top
"VR1","24V","R_0805",-92.750000,-8.000000,90.000000,top
"Y1","8M","Crystal_SMD_0503_4Pads",-32.000000,-74.000000,270.000000,top
"Y2","8M","Crystal_SMD_0503_4Pads",-70.250000,-31.250000,0.000000,top
